name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,class_simple
Caratash,5265,Valid,LL6,8.0,Fell,1902.0,38.5,27.0,"(38.5, 27.0)",Chondrite
Chail,5314,Valid,H6,0.5,Fell,1814.0,25.36667,81.66667,"(25.36667, 81.66667)",Chondrite
Delhi,6642,Valid,L5,0.8,Fell,1897.0,28.56667,77.25,"(28.56667, 77.25)",Chondrite
Hachi-oji,11468,Valid,H?,0.2,Fell,1817.0,35.65,139.33333,"(35.65, 139.33333)",Chondrite
Kusiali,12382,Valid,L6,5.0,Fell,1860.0,29.68333,78.38333,"(29.68333, 78.38333)",Chondrite
Perth,18797,Valid,LL5,2.0,Fell,1830.0,56.4,-3.43333,"(56.4, -3.43333)",Chondrite
Ras Tanura,22395,Valid,H6,6.1,Fell,1961.0,26.66667,50.15,"(26.66667, 50.15)",Chondrite
Revelstoke,22592,Valid,CI1,1.0,Fell,1965.0,51.33333,-118.95,"(51.33333, -118.95)",Chondrite
Silistra,55584,Valid,Achondrite-ung,0.15,Fell,1917.0,44.11667,27.26667,"(44.11667, 27.26667)",Chondrite
Tonk,24026,Valid,CI1,7.7,Fell,1911.0,24.65,76.86667,"(24.65, 76.86667)",Chondrite
Vilna,24183,Valid,L5,0.1,Fell,1967.0,54.225,-111.69167,"(54.225, -111.69167)",Chondrite
Yambo,30345,Valid,H5,4.0,Fell,1951.0,1.0,22.5,"(1.0, 22.5)",Chondrite
Yoshiki,30372,Valid,Stone-uncl,0.1,Fell,1928.0,34.16667,131.45,"(34.16667, 131.45)",Chondrite
Abo,8,Valid,H,1.2,Found,1840.0,60.43333,22.3,"(60.43333, 22.3)",Chondrite
Acfer 401,56305,Valid,L5,9.0,Found,2002.0,27.68917,4.44267,"(27.68917, 4.44267)",Chondrite
Adalia,374,Valid,Eucrite-mmict,1.0,Found,1883.0,36.9,30.68333,"(36.9, 30.68333)",Chondrite
Al Huwaysah 007,55408,Valid,L6,1.56,Found,2010.0,22.73393,55.3204,"(22.73393, 55.3204)",Chondrite
Alaer 001,49713,Valid,LL5,1.7,Found,2007.0,40.33333,81.25,"(40.33333, 81.25)",Chondrite
Alaer 002,49714,Valid,LL5,1.1,Found,2007.0,40.33333,81.25,"(40.33333, 81.25)",Chondrite
Allan Hills 06005,44862,Valid,H~5,6.0,Found,2006.0,-76.70522,158.77838,"(-76.70522, 158.77838)",Chondrite
Allan Hills 06010,44867,Valid,H~5,1.08,Found,2006.0,-76.71263,158.77862,"(-76.71263, 158.77862)",Chondrite
Allan Hills 09001,55346,Valid,L5/6,0.5,Found,2009.0,-76.74403,159.37238,"(-76.74403, 159.37238)",Chondrite
Allan Hills 09010,55801,Valid,L3.4,2.6,Found,2009.0,0.0,0.0,"(0.0, 0.0)",Chondrite
Allan Hills 82107,483,Valid,L5,9.2,Found,1982.0,-76.97697,156.91541,"(-76.97697, 156.91541)",Chondrite
Allan Hills 82117,493,Valid,L5,4.2,Found,1982.0,-77.04025,157.2305,"(-77.04025, 157.2305)",Chondrite
Allan Hills 82120,496,Valid,H5,7.2,Found,1982.0,-76.90581,157.00988,"(-76.90581, 157.00988)",Chondrite
Allan Hills 82121,497,Valid,L6,2.4,Found,1982.0,-77.03722,157.23658,"(-77.03722, 157.23658)",Chondrite
Allan Hills 82127,503,Valid,H6,5.1,Found,1982.0,-76.96966,156.90165,"(-76.96966, 156.90165)",Chondrite
Allan Hills 82131,507,Valid,CM2,1.0,Found,1982.0,-76.88366,156.92815,"(-76.88366, 156.92815)",Chondrite
Allan Hills 82132,508,Valid,EH4,5.9,Found,1982.0,-76.97583,156.94856,"(-76.97583, 156.94856)",Chondrite
Allan Hills 82136,512,Valid,H4,4.3,Found,1982.0,-76.90694,157.02548,"(-76.90694, 157.02548)",Chondrite
Allan Hills 82138,514,Valid,H6,5.0,Found,1982.0,-76.97795,156.92687,"(-76.97795, 156.92687)",Chondrite
Allan Hills 82139,515,Valid,L6,0.2,Found,1982.0,-77.05047,157.25814,"(-77.05047, 157.25814)",Chondrite
Allan Hills 82140,516,Valid,L6,0.3,Found,1982.0,-77.04673,157.28252,"(-77.04673, 157.28252)",Chondrite
Allan Hills 82141,517,Valid,H5,0.6,Found,1982.0,-77.03743,157.23679,"(-77.03743, 157.23679)",Chondrite
Allan Hills 82143,519,Valid,H6,3.5,Found,1982.0,-76.92489,156.93821,"(-76.92489, 156.93821)",Chondrite
Allan Hills 82144,520,Valid,H5,7.3,Found,1982.0,-77.04713,157.28227,"(-77.04713, 157.28227)",Chondrite
Allan Hills 83014,534,Valid,Ureilite,1.3,Found,1983.0,-76.82229,158.23233,"(-76.82229, 158.23233)",Chondrite
Allan Hills 83016,536,Valid,CM2,4.1,Found,1983.0,-76.82256,158.20601,"(-76.82256, 158.20601)",Chondrite
Allan Hills 83017,537,Valid,L3.5,0.6,Found,1983.0,-76.82235,158.20609,"(-76.82235, 158.20609)",Chondrite
Allan Hills 83018,538,Valid,EL6,3.7,Found,1983.0,-76.82236,158.24213,"(-76.82236, 158.24213)",Chondrite
Allan Hills 83019,539,Valid,H4,2.6,Found,1983.0,-76.82229,158.24188,"(-76.82229, 158.24188)",Chondrite
Allan Hills 83020,540,Valid,H5,2.9,Found,1983.0,-76.81315,158.06767,"(-76.81315, 158.06767)",Chondrite
Allan Hills 83022,542,Valid,LL6,5.4,Found,1983.0,-76.81791,158.19091,"(-76.81791, 158.19091)",Chondrite
Allan Hills 83023,543,Valid,L4,4.2,Found,1983.0,-76.82248,158.20557,"(-76.82248, 158.20557)",Chondrite
Allan Hills 83024,544,Valid,H6,6.2,Found,1983.0,-76.82106,158.21255,"(-76.82106, 158.21255)",Chondrite
Allan Hills 83026,546,Valid,CO3,0.1,Found,1983.0,-76.82234,158.21493,"(-76.82234, 158.21493)",Chondrite
Allan Hills 83027,547,Valid,L6,2.7,Found,1983.0,-76.82234,158.215,"(-76.82234, 158.215)",Chondrite
Allan Hills 83032,552,Valid,LL6,2.9,Found,1983.0,-76.82214,158.23429,"(-76.82214, 158.23429)",Chondrite
Allan Hills 83034,554,Valid,H5,6.5,Found,1983.0,-76.69944,159.39056,"(-76.69944, 159.39056)",Chondrite
Allan Hills 83035,555,Valid,H5,1.2,Found,1983.0,-76.82228,158.21366,"(-76.82228, 158.21366)",Chondrite
Allan Hills 83037,557,Valid,H5,2.5,Found,1983.0,-76.82235,158.21503,"(-76.82235, 158.21503)",Chondrite
Allan Hills 83039,559,Valid,H5,6.3,Found,1983.0,-76.69806,159.3975,"(-76.69806, 159.3975)",Chondrite
Allan Hills 83041,561,Valid,L6,0.3,Found,1983.0,-76.82236,158.21482,"(-76.82236, 158.21482)",Chondrite
Allan Hills 83042,562,Valid,H3.6,0.5,Found,1983.0,-76.81765,158.19001,"(-76.81765, 158.19001)",Chondrite
Allan Hills 83043,563,Valid,L6,2.7,Found,1983.0,-76.82199,158.21505,"(-76.82199, 158.21505)",Chondrite
Allan Hills 83044,564,Valid,H5,4.8,Found,1983.0,-76.82133,158.17741,"(-76.82133, 158.17741)",Chondrite
Allan Hills 83045,565,Valid,L5,1.6,Found,1983.0,-76.82268,158.21812,"(-76.82268, 158.21812)",Chondrite
Allan Hills 83048,568,Valid,L5,2.3,Found,1983.0,-76.69694,159.39695,"(-76.69694, 159.39695)",Chondrite
Allan Hills 83049,569,Valid,H5,6.1,Found,1983.0,-76.69167,159.38528,"(-76.69167, 159.38528)",Chondrite
Allan Hills 83050,570,Valid,H6,9.7,Found,1983.0,-76.69389,159.3875,"(-76.69389, 159.3875)",Chondrite
Allan Hills 83056,576,Valid,H5,1.4,Found,1983.0,-76.82197,158.21415,"(-76.82197, 158.21415)",Chondrite
Allan Hills 83059,579,Valid,H5,3.5,Found,1983.0,-76.82193,158.21327,"(-76.82193, 158.21327)",Chondrite
Allan Hills 83060,580,Valid,H5,8.8,Found,1983.0,-76.74,159.38167,"(-76.74, 159.38167)",Chondrite
Allan Hills 83068,588,Valid,H5,0.8,Found,1983.0,-76.81435,158.13615,"(-76.81435, 158.13615)",Chondrite
Allan Hills 83071,591,Valid,H6,4.9,Found,1983.0,-76.69917,159.39861,"(-76.69917, 159.39861)",Chondrite
Allan Hills 83072,592,Valid,H5,1.6,Found,1983.0,-76.8128,158.11533,"(-76.8128, 158.11533)",Chondrite
Allan Hills 83074,594,Valid,H5,6.4,Found,1983.0,-76.77046,158.15787,"(-76.77046, 158.15787)",Chondrite
Allan Hills 83104,599,Valid,H5,2.1,Found,1983.0,-76.96391,156.90554,"(-76.96391, 156.90554)",Chondrite
Allan Hills 83105,600,Valid,L6,0.7,Found,1983.0,-77.04139,157.05861,"(-77.04139, 157.05861)",Chondrite
Allan Hills 84025,628,Valid,Brachinite,4.6,Found,1984.0,-77.02267,157.02695,"(-77.02267, 157.02695)",Chondrite
Allan Hills 84027,629,Valid,LL7(?),8.0,Found,1984.0,-76.90111,156.78436,"(-76.90111, 156.78436)",Chondrite
Allan Hills 84030,632,Valid,CM2,6.2,Found,1984.0,-77.04114,157.08925,"(-77.04114, 157.08925)",Chondrite
Allan Hills 84032,634,Valid,CM2,7.9,Found,1984.0,-77.0394,157.07168,"(-77.0394, 157.07168)",Chondrite
Allan Hills 84035,637,Valid,CM2,3.2,Found,1984.0,-76.99221,156.97646,"(-76.99221, 156.97646)",Chondrite
Allan Hills 84036,638,Valid,CM2,2.8,Found,1984.0,-76.89532,156.83534,"(-76.89532, 156.83534)",Chondrite
Allan Hills 84037,639,Valid,CV3,3.0,Found,1984.0,-76.97931,156.96098,"(-76.97931, 156.96098)",Chondrite
Allan Hills 84041,643,Valid,CM2,1.3,Found,1984.0,-76.99528,156.97546,"(-76.99528, 156.97546)",Chondrite
Allan Hills 84046,648,Valid,CM2,1.5,Found,1984.0,-76.97908,156.96165,"(-76.97908, 156.96165)",Chondrite
Allan Hills 84047,649,Valid,CM2,4.4,Found,1984.0,-77.03953,157.07168,"(-77.03953, 157.07168)",Chondrite
Allan Hills 84050,652,Valid,CM2,3.2,Found,1984.0,-77.01641,156.97949,"(-77.01641, 156.97949)",Chondrite
Allan Hills 84053,655,Valid,CM2,5.2,Found,1984.0,-77.02037,157.00819,"(-77.02037, 157.00819)",Chondrite
Allan Hills 84128,730,Valid,H5,2.1,Found,1984.0,-76.71094,158.74709,"(-76.71094, 158.74709)",Chondrite
Allan Hills 84152,754,Valid,H5,6.4,Found,1984.0,-76.98859,156.96088,"(-76.98859, 156.96088)",Chondrite
Allan Hills 84172,774,Valid,H5,3.0,Found,1984.0,-76.75732,158.9042,"(-76.75732, 158.9042)",Chondrite
Allan Hills 84173,775,Valid,L6,1.7,Found,1984.0,-76.82169,158.21104,"(-76.82169, 158.21104)",Chondrite
Allan Hills 84176,778,Valid,H6,4.6,Found,1984.0,-76.69029,159.38336,"(-76.69029, 159.38336)",Chondrite
Allan Hills 84177,779,Valid,L5,7.3,Found,1984.0,-76.71105,158.74719,"(-76.71105, 158.74719)",Chondrite
Allan Hills 84178,780,Valid,H5,0.4,Found,1984.0,-76.80065,158.12891,"(-76.80065, 158.12891)",Chondrite
Allan Hills 84185,787,Valid,H5,4.8,Found,1984.0,-76.82192,158.24979,"(-76.82192, 158.24979)",Chondrite
Allan Hills 84188,790,Valid,EH3,3.1,Found,1984.0,-76.75272,158.76745,"(-76.75272, 158.76745)",Chondrite
Allan Hills 84189,791,Valid,H6,8.7,Found,1984.0,-76.71444,158.70131,"(-76.71444, 158.70131)",Chondrite
Allan Hills 84190,792,Valid,Acapulcoite,7.9,Found,1984.0,-76.68361,159.33783,"(-76.68361, 159.33783)",Chondrite
Allan Hills 84192,794,Valid,H5,4.2,Found,1984.0,-76.68029,159.34296,"(-76.68029, 159.34296)",Chondrite
Allan Hills 84193,795,Valid,L6,9.4,Found,1984.0,-76.90674,156.82425,"(-76.90674, 156.82425)",Chondrite
Allan Hills 84194,796,Valid,H5,3.9,Found,1984.0,-76.72364,159.41487,"(-76.72364, 159.41487)",Chondrite
Allan Hills 84195,797,Valid,L4,2.1,Found,1984.0,-76.69848,159.39858,"(-76.69848, 159.39858)",Chondrite
Allan Hills 84197,799,Valid,L6,8.2,Found,1984.0,-76.75722,158.90399,"(-76.75722, 158.90399)",Chondrite
Allan Hills 84198,800,Valid,LL6,5.4,Found,1984.0,-76.80287,158.16296,"(-76.80287, 158.16296)",Chondrite
Allan Hills 84200,802,Valid,EH3,8.5,Found,1984.0,-76.75725,158.78341,"(-76.75725, 158.78341)",Chondrite
Allan Hills 84201,803,Valid,H5,6.3,Found,1984.0,-76.7574,158.90775,"(-76.7574, 158.90775)",Chondrite
Allan Hills 84203,805,Valid,L6,8.8,Found,1984.0,-76.81428,158.14376,"(-76.81428, 158.14376)",Chondrite
Allan Hills 84207,809,Valid,L6,4.5,Found,1984.0,-76.95208,156.93724,"(-76.95208, 156.93724)",Chondrite
Allan Hills 84209,811,Valid,L5,5.5,Found,1984.0,-76.69843,159.39841,"(-76.69843, 159.39841)",Chondrite
Allan Hills 84210,812,Valid,L6,8.8,Found,1984.0,-76.77051,158.81479,"(-76.77051, 158.81479)",Chondrite
Allan Hills 84212,814,Valid,L6,7.1,Found,1984.0,-76.76216,158.79286,"(-76.76216, 158.79286)",Chondrite
Allan Hills 84213,815,Valid,H5,6.7,Found,1984.0,-76.67544,159.30823,"(-76.67544, 159.30823)",Chondrite
Allan Hills 84214,816,Valid,H6,4.9,Found,1984.0,-76.88141,158.58062,"(-76.88141, 158.58062)",Chondrite
Allan Hills 84215,817,Valid,H6,9.2,Found,1984.0,-76.67946,159.34206,"(-76.67946, 159.34206)",Chondrite
Allan Hills 84216,818,Valid,H5,5.5,Found,1984.0,-76.8209,158.25076,"(-76.8209, 158.25076)",Chondrite
Allan Hills 84217,819,Valid,H5,2.7,Found,1984.0,-77.0203,156.91357,"(-77.0203, 156.91357)",Chondrite
Allan Hills 84219,821,Valid,L6,9.8,Found,1984.0,-77.00107,156.91147,"(-77.00107, 156.91147)",Chondrite
Allan Hills 84220,822,Valid,EH3,8.4,Found,1984.0,-76.75646,158.91429,"(-76.75646, 158.91429)",Chondrite
Allan Hills 84222,824,Valid,H5,9.9,Found,1984.0,-76.67395,159.32548,"(-76.67395, 159.32548)",Chondrite
Allan Hills 84224,826,Valid,H6,7.2,Found,1984.0,-76.69405,159.38838,"(-76.69405, 159.38838)",Chondrite
Allan Hills 84225,827,Valid,H5,8.7,Found,1984.0,-76.65827,159.32682,"(-76.65827, 159.32682)",Chondrite
Allan Hills 84228,830,Valid,H5,9.8,Found,1984.0,-76.6836,159.34932,"(-76.6836, 159.34932)",Chondrite
Allan Hills 84229,831,Valid,L6,6.9,Found,1984.0,-76.73228,158.81663,"(-76.73228, 158.81663)",Chondrite
Allan Hills 84230,832,Valid,H4,2.4,Found,1984.0,-76.75647,158.91425,"(-76.75647, 158.91425)",Chondrite
Allan Hills 84232,834,Valid,H4,9.9,Found,1984.0,-76.71074,158.74629,"(-76.71074, 158.74629)",Chondrite
Allan Hills 84234,836,Valid,L6,3.9,Found,1984.0,-76.95262,156.9376,"(-76.95262, 156.9376)",Chondrite
Allan Hills 84235,837,Valid,EH3,6.0,Found,1984.0,-76.75174,158.76483,"(-76.75174, 158.76483)",Chondrite
Allan Hills 84237,839,Valid,H5,7.5,Found,1984.0,-76.69863,159.39845,"(-76.69863, 159.39845)",Chondrite
Allan Hills 84238,840,Valid,L6,1.9,Found,1984.0,-76.80207,158.15703,"(-76.80207, 158.15703)",Chondrite
Allan Hills 84246,848,Valid,H5,1.8,Found,1984.0,-76.86689,158.52155,"(-76.86689, 158.52155)",Chondrite
Allan Hills 84248,850,Valid,H5,4.9,Found,1984.0,-76.69255,159.39066,"(-76.69255, 159.39066)",Chondrite
Allan Hills 84252,854,Valid,H6,3.1,Found,1984.0,-76.89871,156.79221,"(-76.89871, 156.79221)",Chondrite
Allan Hills 84253,855,Valid,H5,7.1,Found,1984.0,-76.96688,156.92161,"(-76.96688, 156.92161)",Chondrite
Allan Hills 84254,856,Valid,EH3,2.0,Found,1984.0,-76.99141,156.97536,"(-76.99141, 156.97536)",Chondrite
Allan Hills 84256,858,Valid,L6,3.0,Found,1984.0,-76.7065,158.7323,"(-76.7065, 158.7323)",Chondrite
Allan Hills 84258,860,Valid,L5,2.6,Found,1984.0,-76.9061,156.8297,"(-76.9061, 156.8297)",Chondrite
Allan Hills 84261,863,Valid,L6,5.1,Found,1984.0,-76.90584,156.83258,"(-76.90584, 156.83258)",Chondrite
Allan Hills 84263,865,Valid,H5,4.6,Found,1984.0,-76.75813,158.92426,"(-76.75813, 158.92426)",Chondrite
Allan Hills 85004,870,Valid,CM2,8.4,Found,1985.0,-77.035,157.18083,"(-77.035, 157.18083)",Chondrite
Allan Hills 85010,876,Valid,CM2,3.2,Found,1985.0,-76.83631,156.14247,"(-76.83631, 156.14247)",Chondrite
Allan Hills 85012,878,Valid,CM2,3.9,Found,1985.0,-77.035,157.18333,"(-77.035, 157.18333)",Chondrite
Allan Hills 85047,913,Valid,L6,4.2,Found,1985.0,-76.86304,156.51124,"(-76.86304, 156.51124)",Chondrite
Allan Hills 85049,915,Valid,L6,4.8,Found,1985.0,-76.87975,156.49207,"(-76.87975, 156.49207)",Chondrite
Allan Hills 85050,916,Valid,L6,0.9,Found,1985.0,-76.87869,156.49742,"(-76.87869, 156.49742)",Chondrite
Allan Hills 85051,917,Valid,H5,4.9,Found,1985.0,-76.83928,156.46772,"(-76.83928, 156.46772)",Chondrite
Allan Hills 85053,919,Valid,L4,0.5,Found,1985.0,-76.90146,156.70958,"(-76.90146, 156.70958)",Chondrite
Allan Hills 85055,921,Valid,H5,5.8,Found,1985.0,-76.90372,156.75302,"(-76.90372, 156.75302)",Chondrite
